,diploids,tetraploids,plate,line,rep,salt,iter,week,pop,plate
D7.fcs,15093,1195,2,C,4,1,1,6,C41,1
D8.fcs,9416,2631,2,C,4,1,2,6,C41,1
D9.fcs,13994,1680,2,C,5,1,1,6,C51,1
D10.fcs,12127,1146,2,C,5,1,2,6,C51,1
D11.fcs,12937,1405,2,C,6,1,1,6,C61,1
D12.fcs,14316,1354,2,C,6,1,2,6,C61,1
E1.fcs,12919,916,2,D,1,1,1,6,D11,1
E2.fcs,12811,1044,2,D,1,1,2,6,D11,1
E3.fcs,11593,857,2,D,2,1,1,6,D21,1
E4.fcs,10477,947,2,D,2,1,2,6,D21,1
E5.fcs,12531,980,2,D,3,1,1,6,D31,1
E6.fcs,13561,1247,2,D,3,1,2,6,D31,1
E7.fcs,13277,1341,2,D,4,1,1,6,D41,1
E8.fcs,15060,1321,2,D,4,1,2,6,D41,1
E9.fcs,12989,1114,2,D,6,1,1,6,D61,1
E10.fcs,9671,4072,2,D,6,1,2,6,D61,1
B1.fcs,17750,1501,2,C,4,1,2,7,C41,2
B2.fcs,15999,1118,2,C,5,1,1,7,C51,2
B3.fcs,19526,1623,2,C,5,1,2,7,C51,2
B4.fcs,14004,820,2,C,6,1,1,7,C61,2
B5.fcs,13745,951,2,C,6,1,2,7,C61,2
C1.fcs,19477,970,2,D,1,1,1,7,D11,2
C2.fcs,10939,516,2,D,1,1,2,7,D11,2
C3.fcs,11506,674,2,D,2,1,1,7,D21,2
C4.fcs,12292,716,2,D,2,1,2,7,D21,2
C5.fcs,12221,2149,2,D,3,1,1,7,D31,2
C6.fcs,13460,2018,2,D,3,1,2,7,D31,2
C7.fcs,11415,1696,2,D,4,1,1,7,D41,2
C8.fcs,15203,2266,2,D,4,1,2,7,D41,2
C9.fcs,12767,664,2,D,6,1,1,7,D61,2
